iso_code,continent,location,aged_65_older,aged_70_older,diabetes_prevalence,female_smokers,male_smokers,population
AFG,Asia,Afghanistan,2.581,1.337,9.59,,,41128772
OWID_AFR,,Africa,,,,,,1426736614
ALB,Europe,Albania,13.188,8.643,10.08,7.1,51.2,2842318
DZA,Africa,Algeria,6.211,3.857,6.73,0.7,30.4,44903228
AND,Europe,Andorra,,,7.97,29.0,37.8,79843
AGO,Africa,Angola,2.405,1.362,3.94,,,35588996
AIA,North America,Anguilla,,,,,,15877
ATG,North America,Antigua and Barbuda,6.933,4.631,13.17,,,93772
ARG,South America,Argentina,11.198,7.441,5.5,16.2,27.7,45510324
ARM,Asia,Armenia,11.232,7.571,7.11,1.5,52.1,2780472
ABW,North America,Aruba,13.085,7.452,11.62,,,106459
OWID_ASI,,Asia,,,,,,4721383370
AUS,Oceania,Australia,15.504,10.129,5.07,13.0,16.5,26177410
AUT,Europe,Austria,19.202,13.748,6.35,28.4,30.9,8939617
AZE,Asia,Azerbaijan,6.018,3.871,7.11,0.3,42.5,10358078
BHS,North America,Bahamas,8.996,5.2,13.17,3.1,20.4,409989
BHR,Asia,Bahrain,2.372,1.387,16.52,5.8,37.6,1472237
BGD,Asia,Bangladesh,5.098,3.262,8.38,1.0,44.7,171186368
BRB,North America,Barbados,14.952,9.473,13.57,1.9,14.5,281646
BLR,Europe,Belarus,14.799,9.788,5.18,10.5,46.1,9534956
BEL,Europe,Belgium,18.571,12.849,4.29,25.1,31.4,11655923
BLZ,North America,Belize,3.853,2.279,17.11,,,405285
BEN,Africa,Benin,3.244,1.942,0.99,0.6,12.3,13352864
BMU,North America,Bermuda,,,13.0,,,64207
BTN,Asia,Bhutan,4.885,2.977,9.75,,,782457
BOL,South America,Bolivia,6.704,4.393,6.89,,,12224114
BES,North America,Bonaire Sint Eustatius and Saba,,,,,,27052
BIH,Europe,Bosnia and Herzegovina,16.569,10.711,10.08,30.2,47.7,3233530
BWA,Africa,Botswana,3.941,2.242,4.81,5.7,34.4,2630300
BRA,South America,Brazil,8.552,5.06,8.11,10.1,17.9,215313504
VGB,North America,British Virgin Islands,,,13.67,,,31332
BRN,Asia,Brunei,4.591,2.382,12.79,2.0,30.9,449002
BGR,Europe,Bulgaria,20.801,13.272,5.81,30.1,44.4,6781955
BFA,Africa,Burkina Faso,2.409,1.358,2.42,1.6,23.9,22673764
BDI,Africa,Burundi,2.562,1.504,6.05,,,12889583
KHM,Asia,Cambodia,4.412,2.385,4.0,2.0,33.7,16767851
CMR,Africa,Cameroon,3.165,1.919,7.2,,,27914542
CAN,North America,Canada,16.984,10.797,7.37,12.0,16.6,38454328
CPV,Africa,Cape Verde,4.46,3.437,2.42,2.1,16.5,593162
CYM,North America,Cayman Islands,,,13.22,,,68722
CAF,Africa,Central African Republic,3.655,2.251,6.1,,,5579148
TCD,Africa,Chad,2.486,1.446,6.1,,,17723312
CHL,South America,Chile,11.087,6.938,8.46,34.2,41.5,19603736
CHN,Asia,China,10.641,5.929,9.74,1.9,48.4,1425887360
COL,South America,Colombia,7.646,4.312,7.44,4.7,13.5,51874028
COM,Africa,Comoros,2.963,1.726,11.88,4.4,23.6,836783
COG,Africa,Congo,3.402,2.063,7.2,1.7,52.3,5970430
COK,Oceania,Cook Islands,,,,,,17032
CRI,North America,Costa Rica,9.468,5.694,8.78,6.4,17.4,5180836
CIV,Africa,Cote d'Ivoire,2.933,1.582,2.42,,,28160548
HRV,Europe,Croatia,19.724,13.053,5.59,34.3,39.9,4030361
CUB,North America,Cuba,14.738,9.719,8.27,17.1,53.3,11212198
CUW,North America,Curacao,16.367,10.068,11.62,,,191173
CYP,Europe,Cyprus,13.416,8.563,9.24,19.6,52.7,896007
CZE,Europe,Czechia,19.027,11.58,6.82,30.5,38.3,10493990
COD,Africa,Democratic Republic of Congo,3.02,1.745,6.1,,,99010216
DNK,Europe,Denmark,19.677,12.325,6.41,19.3,18.8,5882259
DJI,Africa,Djibouti,4.213,2.38,6.05,1.7,24.5,1120851
DMA,North America,Dominica,,,11.62,,,72758
DOM,North America,Dominican Republic,6.981,4.419,8.2,8.5,19.1,11228821
ECU,South America,Ecuador,7.104,4.458,5.55,2.0,12.3,18001002
EGY,Africa,Egypt,5.159,2.891,17.31,0.2,50.1,110990096
SLV,North America,El Salvador,8.273,5.417,8.87,2.5,18.8,6336393
OWID_ENG,Europe,England,,,,,,56550000
GNQ,Africa,Equatorial Guinea,2.846,1.752,7.78,,,1674916
ERI,Africa,Eritrea,3.607,2.171,6.05,0.2,11.4,3684041
EST,Europe,Estonia,19.452,13.491,4.02,24.5,39.3,1326064
SWZ,Africa,Eswatini,3.163,1.845,3.94,1.7,16.5,1201680
ETH,Africa,Ethiopia,3.526,2.063,7.47,0.4,8.5,123379928
OWID_EUR,,Europe,,,,,,744807803
OWID_EUN,,European Union,,,,,,450146793
FRO,Europe,Faeroe Islands,,,,,,53117
FLK,South America,Falkland Islands,,,,,,3801
FJI,Oceania,Fiji,6.224,3.284,14.49,10.2,34.8,929769
FIN,Europe,Finland,21.228,13.264,5.76,18.3,22.6,5540745
FRA,Europe,France,19.718,13.079,4.77,30.1,35.6,67813000
PYF,Oceania,French Polynesia,7.775,4.593,22.63,,,306292
GAB,Africa,Gabon,4.45,2.976,7.2,,,2388997
GMB,Africa,Gambia,2.339,1.417,1.91,0.7,31.2,2705995
GEO,Asia,Georgia,14.864,10.244,7.11,5.3,55.5,3744385
DEU,Europe,Germany,21.453,15.957,8.31,28.2,33.1,83369840
GHA,Africa,Ghana,3.385,1.948,4.97,0.3,7.7,33475870
GIB,Europe,Gibraltar,,,,,,32677
GRC,Europe,Greece,20.396,14.524,4.55,35.3,52.0,10384972
GRL,North America,Greenland,,,2.16,,,56494
GRD,North America,Grenada,7.304,5.021,10.71,,,125459
GUM,Oceania,Guam,9.551,5.493,21.52,,,171783
GTM,North America,Guatemala,4.694,3.016,10.18,,,17843914
GGY,Europe,Guernsey,,,,,,63329
GIN,Africa,Guinea,3.135,1.733,2.42,,,13859349
GNB,Africa,Guinea-Bissau,3.002,1.565,2.42,,,2105580
GUY,South America,Guyana,5.305,2.837,11.62,,,808727
HTI,North America,Haiti,4.8,2.954,6.65,2.9,23.1,11585003
OWID_HIC,,High income,,,,,,1250514600
HND,North America,Honduras,4.652,2.883,7.21,2.0,,10432858
HKG,Asia,Hong Kong,16.303,10.158,8.33,,,7488863
HUN,Europe,Hungary,18.577,11.976,7.55,26.8,34.8,9967304
ISL,Europe,Iceland,14.431,9.207,5.31,14.3,15.2,372903
IND,Asia,India,5.989,3.414,10.39,1.9,20.6,1417173120
IDN,Asia,Indonesia,5.319,3.053,6.32,2.8,76.1,275501344
OWID_INT,,International,,,,,,
IRN,Asia,Iran,5.44,3.182,9.59,0.8,21.1,88550568
IRQ,Asia,Iraq,3.186,1.957,8.83,,,44496124
IRL,Europe,Ireland,13.928,8.678,3.28,23.0,25.7,5023108
IMN,Europe,Isle of Man,,,,,,84534
ISR,Asia,Israel,11.733,7.359,6.74,15.4,35.4,9449000
ITA,Europe,Italy,23.021,16.24,4.78,19.8,27.8,59037472
JAM,North America,Jamaica,9.684,6.39,11.28,5.3,28.6,2827382
JPN,Asia,Japan,27.049,18.493,5.72,11.2,33.7,123951696
JEY,Europe,Jersey,,,,,,110796
JOR,Asia,Jordan,3.81,2.361,11.75,,,11285875
KAZ,Asia,Kazakhstan,6.991,4.625,7.11,7.0,43.1,19397998
